banos,ciudad,comunidad,habitaciones,link,particular,precio,referencia,superficie,web
1, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/casa-de-campo/150588073/d?RowGrid=2&tti=1&opi=300,Profesional,320.000,150588073,63,Fotocasa
1, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking/150764551/d?RowGrid=1&tti=1&opi=300,Profesional,159.900,150764551,66,Fotocasa
4, Madrid Capital,Madrid,5,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-parking-jardin-piscina/150407649/d?RowGrid=1&tti=1&opi=300,Profesional,699.000,150407649,300,Fotocasa
1,Pinto,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/pinto/trastero-patio/150771140/d?RowGrid=4&tti=1&opi=300,Profesional,165.000,150771140,82,Fotocasa
2,Pinto,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/pinto/aire-acondicionado-parking-terraza-trastero-ascensor/150765676/d?RowGrid=3&tti=1&opi=300,Profesional,339.900,150765676,200,Fotocasa
2,Pinto,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/pinto/calefaccion-parking-terraza-trastero-ascensor-piscina-piscina/150103432/d?RowGrid=1&tti=1&opi=300,Profesional,190.000,150103432,85,Fotocasa
1, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/150663073/d?RowGrid=3&tti=1&opi=300,Profesional,169.000,150663073,70,Fotocasa
1,Fuenlabrada,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/fuenlabrada/calefaccion-ascensor/150301973/d?RowGrid=2&tti=1&opi=300,Profesional,164.900,150301973,98,Fotocasa
1, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/150544730/d?RowGrid=4&tti=1&opi=300,Profesional,176.000,150544730,62,Fotocasa
3,Moralzarzal,Madrid,4,https://www.fotocasa.es/es/comprar/vivienda/moralzarzal/parking-jardin/148392632/d?RowGrid=1&tti=1&opi=300,Profesional,395.000,148392632,235,Fotocasa
2,Navalcarnero,Madrid,4,https://www.fotocasa.es/es/comprar/vivienda/navalcarnero/aire-acondicionado-calefaccion-parking-jardin-terraza-patio-se-aceptan-mascotas/148729326/d?RowGrid=4&tti=1&opi=300,Profesional,259.900,148729326,227,Fotocasa
2, Madrid Capital,Madrid,5,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/150586914/d?RowGrid=3&tti=1&opi=300,Profesional,645.000,150586914,167,Fotocasa
2, Madrid Capital,Madrid,6,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/150586915/d?RowGrid=2&tti=1&opi=300,Profesional,540.000,150586915,130,Fotocasa
1,Getafe,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/getafe/aire-acondicionado-calefaccion/150588209/d?RowGrid=2&tti=1&opi=300,Profesional,135.000,150588209,70,Fotocasa
1, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-no-amueblado/148681251/d?RowGrid=1&tti=1&opi=300,Profesional,128.900,148681251,70,Fotocasa
1, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-trastero/147746001/d?RowGrid=1&tti=1&opi=300,Profesional,350.000,147746001,87,Fotocasa
