banos,ciudad,codigoPostal,comunidad,habitaciones,link,nombre,particular,planta,precio,referencia,superficie,web
3 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-piscina/146516100/d?RowGrid=1&tti=1&opi=300,,Profesional,4,1.590,146516100,320,Fotocasa
2 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/prosperidad/150645393/d?RowGrid=2&tti=1&opi=300,,Profesional,5,659.000,150645393,112,Fotocasa
1 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/opanel/149647399/d?RowGrid=2&tti=1&opi=300,,Profesional,1,169.000,149647399,85,Fotocasa
2 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/147141789/d?RowGrid=3&tti=1&opi=300,,Profesional,2,895.000,147141789,190,Fotocasa
3 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/150370636/d?RowGrid=1&tti=1&opi=300,,Profesional,6,1.190,150370636,170,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-zona-comunitaria-ascensor-piscina-parking-piscina/145332700/d?RowGrid=1&tti=1&opi=300,,Profesional,1,170.000,145332700,90,Fotocasa
2 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/gaztambide/149705788/d?RowGrid=3&tti=1&opi=300,,Profesional,4,680.000,149705788,142,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-zona-comunitaria-ascensor-piscina-parking-piscina/145191609/d?RowGrid=3&tti=1&opi=300,,Profesional,2,184.000,145191609,89,Fotocasa
2 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/trastero-ascensor/149619769/d?RowGrid=1&tti=1&opi=300,,Profesional,2,835.000,149619769,146,Fotocasa
1 baño, Madrid Capital,,Madrid,1 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor/150011671/d?RowGrid=3&tti=1&opi=300,,Profesional,6,467.000,150011671,53,Fotocasa
2 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-ascensor/149197807/d?RowGrid=1&tti=1&opi=300,,Profesional,1,605.000,149197807,138,Fotocasa
3 baño, Madrid Capital,,Madrid,5 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/trastero-ascensor/150772117/d?RowGrid=2&tti=1&opi=300,,Profesional,,1.100,150772117,248,Fotocasa
3 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-trastero-ascensor/140473052/d?RowGrid=3&tti=1&opi=300,,Profesional,7,1.150,140473052,186,Fotocasa
4 baño, Madrid Capital,,Madrid,5 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/136022947/d?RowGrid=2&tti=1&opi=300,,Profesional,5,1.500,136022947,340,Fotocasa
2 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-zona-comunitaria-ascensor-piscina-parking-piscina/145333933/d?RowGrid=2&tti=1&opi=300,,Profesional,1,218.000,145333933,112,Fotocasa
3 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking/149964432/d?RowGrid=1&tti=1&opi=300,,Profesional,5,896.000,149964432,170,Fotocasa
3 baño, Madrid Capital,,Madrid,5 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-terraza-trastero-zona-comunitaria-ascensor-piscina/141618086/d?RowGrid=2&tti=1&opi=300,,Profesional,1,1.050,141618086,222,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/150111189/d?RowGrid=3&tti=1&opi=300,,Profesional,3,155.000,150111189,43,Fotocasa
1 baño, Madrid Capital,,Madrid,1 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/150369281/d?RowGrid=1&tti=1&opi=300,,Profesional,2,180.000,150369281,34,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/150440324/d?RowGrid=4&tti=1&opi=300,,Profesional,2,152.000,150440324,67,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-jardin-zona-comunitaria-ascensor/149356897/d?RowGrid=2&tti=1&opi=300,,Profesional,4,308.000,149356897,73,Fotocasa
